Logging to experiments/20250223_030933
---------------------------------
| rollout/           |          |
|    time_elapsed         | 1184        |
|    total_timesteps      | 669696      |
| train/                  |             |
|    approx_kl            | 0.008520402 |
|    clip_fraction        | 0.0559      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.325      |
|    explained_variance   | 0.748       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0178     |
|    n_updates            | 3260        |
|    policy_gradient_loss | -0.0066     |
|    value_loss           | 0.00511     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 90.9       |
|    ep_rew_mean          | 0.185      |
| time/                   |            |
|    fps                  | 565        |
|    iterations           | 328        |
|    time_elapsed         | 1187       |
|    total_timesteps      | 671744     |
| train/                  |            |
|    approx_kl            | 0.00914735 |
|    clip_fraction        | 0.0783     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.288     |
|    explained_variance   | 0.623      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0155    |
|    n_updates            | 3270       |
|    policy_gradient_loss | -0.012     |
|    value_loss           | 0.00441    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 95          |
|    ep_rew_mean          | 0.14        |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 329         |
|    time_elapsed         | 1191        |
|    total_timesteps      | 673792      |
| train/                  |             |
|    approx_kl            | 0.009816192 |
|    clip_fraction        | 0.0854      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.536      |
|    explained_variance   | 0.821       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0207     |
|    n_updates            | 3280        |
|    policy_gradient_loss | -0.00535    |
|    value_loss           | 0.00587     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 95          |
|    ep_rew_mean          | 0.13        |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 330         |
|    time_elapsed         | 1195        |
|    total_timesteps      | 675840      |
| train/                  |             |
|    approx_kl            | 0.013704452 |
|    clip_fraction        | 0.0976      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.433      |
|    explained_variance   | 0.886       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0125     |
|    n_updates            | 3290        |
|    policy_gradient_loss | -0.0115     |
|    value_loss           | 0.00162     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 96.7        |
|    ep_rew_mean          | 0.104       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 331         |
|    time_elapsed         | 1198        |
|    total_timesteps      | 677888      |
| train/                  |             |
|    approx_kl            | 0.007869486 |
|    clip_fraction        | 0.0509      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.433      |
|    explained_variance   | 0.852       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0304     |
|    n_updates            | 3300        |
|    policy_gradient_loss | -0.00622    |
|    value_loss           | 0.0021      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 98.7         |
